Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.5517241379310347,0.9500033489655173
Reach,R_2,29,5.0,0.9225888638940689
Reach,R_3,29,7.896551724137931,0.8702905002218297
Avoid 2,A2_1,9,2.4444444444444446,0.30148910344827584
Avoid 2,A2_2,27,3.6666666666666665,0.8825374673655173
Avoid 2,A2_3,2,1.0,0.06896551724137931
Avoid 2,A2_4,28,1.9642857142857142,0.9471561489655173
Avoid 2,A2_5,18,3.111111111111111,0.595175265875862
Avoid 2,A2_6,28,3.7142857142857144,0.9145695988987587
Avoid 3,A3_1,0,,0.0
Avoid 3,A3_2,15,4.266666666666667,0.4848429749778105
Avoid 3,A3_3,23,3.782608695652174,0.7500934004987585
Avoid 3,A3_4,18,4.5,0.5788030945455668
Avoid 4,A4_1,8,1.875,0.2710620689655172
Avoid 4,A4_2,19,3.8421052631578947,0.6194738730437297
Avoid 4,A4_3,29,1.9310344827586208,0.9815710400000001
Avoid 4,A4_4,6,1.5,0.20484137931034485
Avoid 4,A4_5,27,1.9259259259259258,0.9139848331034482
Avoid 5,A5_1,16,4.25,0.5171451673445517
Avoid 5,A5_2,0,,0.0
Avoid 5,A5_3,10,2.7,0.3332681379310345
Avoid 5,A5_4,0,,0.0
Avoid 5,A5_5,5,1.8,0.16966896551724137
Avoid 5,A5_6,0,,0.0
Reach Avoid General,RA_1,29,3.103448275862069,0.9586157351724138
Reach Avoid General,RA_2,21,9.714285714285714,0.609430339448609
Reach Avoid General,RA_3,28,4.428571428571429,0.9014063136110345
Reach Avoid General,RA_4,29,2.896551724137931,0.9626176551724138
Reach Avoid General,RA_5,29,3.310344827586207,0.9545600110344828
Reach Avoid General,RA_6,23,3.130434782608696,0.7599249985103448
Reach Avoid General,RA_7,18,5.277777777777778,0.5698504534546555
Reach Avoid X and not Y,RXNY_1,27,1.962962962962963,0.9132951779310345
Reach Avoid X and not Y,RXNY_2,29,1.793103448275862,0.9842068965517241
Reach Avoid X and not Y,RXNY_3,18,3.111111111111111,0.595175265875862
Reach Avoid X and not Y,RXNY_4,25,1.72,0.8497376551724138
Reach Avoid X and not Y,RXNY_5,3,1.0,0.10344827586206896
