Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,4.862068965517241,0.9253166967348524
Reach,R_2,29,6.0,0.9041874772829139
Reach,R_3,29,7.689655172413793,0.8739954739414798
Avoid 2,A2_1,23,4.695652173913044,0.736901770018914
Avoid 2,A2_2,28,3.0357142857142856,0.9268902398896552
Avoid 2,A2_3,26,3.576923076923077,0.8515267853263448
Avoid 2,A2_4,20,3.25,0.659235343337931
Avoid 2,A2_5,26,4.346153846153846,0.8383653978658869
Avoid 3,A3_1,18,3.111111111111111,0.5950014123034484
Avoid 3,A3_2,17,4.176470588235294,0.5504418770467759
Avoid 3,A3_3,25,3.12,0.8261867916137932
Avoid 3,A3_4,19,3.0526315789473686,0.6287945157517241
Avoid 4,A4_1,20,2.9,0.6639669295448275
Avoid 4,A4_2,21,2.8095238095238093,0.6984496881655172
Avoid 4,A4_3,26,1.8846153846153846,0.8807997241379311
Avoid 4,A4_4,18,3.0,0.5964861840573793
Avoid 4,A4_5,28,1.6071428571428572,0.9538617931034483
Avoid 5,A4_1,20,2.9,0.6639669295448275
Avoid 5,A4_2,18,3.111111111111111,0.5950014123034484
Avoid 5,A4_3,17,2.6470588235294117,0.5671572413793103
Avoid 5,A4_4,11,2.4545454545454546,0.3684267586206897
Avoid 5,A4_5,2,1.0,0.06896551724137931
Avoid 5,A4_6,18,3.111111111111111,0.5950014123034484
Reach Avoid General,RA_1,29,3.4482758620689653,0.9522405601257491
Reach Avoid General,RA_2,28,1.6071428571428572,0.9538617931034483
Reach Avoid General,RA_3,21,2.857142857142857,0.6977600329931035
Reach Avoid General,RA_4,27,2.925925925925926,0.8958419640275863
Reach Avoid General,RA_5,28,3.5,0.918235430953931
Reach Avoid General,RA_6,24,3.125,0.7930560329931033
Reach Avoid General,RA_7,21,3.857142857142857,0.6838048323332415
Reach Avoid X and not Y,RXNY_1,22,3.090909090909091,0.7274701019586207
Reach Avoid X and not Y,RXNY_2,14,2.357142857142857,0.46981986206896553
Reach Avoid X and not Y,RXNY_3,20,1.9,0.6773238620689654
Reach Avoid X and not Y,RXNY_4,28,1.8928571428571428,0.9484811089655174
Reach Avoid X and not Y,RXNY_5,12,1.1666666666666667,0.41242758620689657
