Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,4.9655172413793105,0.9232255044435862
Reach,R_2,29,5.0344827586206895,0.921914586262069
Reach,R_3,28,8.642857142857142,0.8278245295873453
Avoid 2,A2_1,25,3.84,0.8144746696827587
Avoid 2,A2_2,29,2.9310344827586206,0.9619417931034482
Avoid 2,A2_3,6,1.6666666666666667,0.20415172413793103
Avoid 2,A2_4,19,2.8947368421052633,0.6307153103448276
Avoid 2,A2_5,26,3.9615384615384617,0.844780843586207
Avoid 3,A3_1,15,2.7333333333333334,0.49957103448275864
Avoid 3,A3_2,15,3.2,0.49504006598620687
Avoid 3,A3_3,24,2.9166666666666665,0.7963285517241379
Avoid 3,A3_4,16,2.6875,0.5333641379310344
Avoid 4,A4_1,15,2.533333333333333,0.5016262068965517
Avoid 4,A4_2,15,2.533333333333333,0.5016262068965517
Avoid 4,A4_3,28,1.7857142857142858,0.9504548965517242
Avoid 4,A4_4,17,2.5294117647058822,0.568536551724138
Avoid 4,A4_5,26,1.6153846153846154,0.8855859310344828
Avoid 5,A4_1,11,2.272727272727273,0.3698060689655172
Avoid 5,A4_2,15,2.7333333333333334,0.49957103448275864
Avoid 5,A4_3,18,2.5,0.6023296551724138
Avoid 5,A4_4,9,2.5555555555555554,0.30084055172413793
Avoid 5,A4_5,2,1.0,0.06896551724137931
Avoid 5,A4_6,15,2.7333333333333334,0.49957103448275864
Reach Avoid General,RA_1,29,3.0,0.9606035862068967
Reach Avoid General,RA_2,26,1.6153846153846154,0.8855859310344828
Reach Avoid General,RA_3,17,2.4705882352941178,0.5692124137931034
Reach Avoid General,RA_4,26,2.6538461538461537,0.8673492413793104
Reach Avoid General,RA_5,25,3.64,0.817505218540138
Reach Avoid General,RA_6,21,2.8095238095238093,0.6983015172413793
Reach Avoid General,RA_7,18,4.666666666666667,0.5766064408451972
Reach Avoid X and not Y,RXNY_1,19,2.8947368421052633,0.6307153103448276
Reach Avoid X and not Y,RXNY_2,5,1.8,0.16966896551724137
Reach Avoid X and not Y,RXNY_3,12,1.6666666666666667,0.40828965517241383
Reach Avoid X and not Y,RXNY_4,22,1.9090909090909092,0.7449779365517241
Reach Avoid X and not Y,RXNY_5,7,1.0,0.2413793103448276
